OldData,Expt,OchStrain,Light,Rice,Rep,Plating.Date,CountDate,AreaCounted,DilutionFactor,CFUs,CountDate,AreaCounted,CFUs,Notes,CFUpmL
,2,1148,75,Xenic,C,13 Nov 2021,22 Nov 2021,whole,"1,000",76,6 Dec 2021,whole,127,,1270000
,2,1150,150,Xenic,A,12 Nov 2021,22 Nov 2021,whole,"1,000",19,6 Dec 2021,whole,19,,190000
,2,1150,150,Xenic,B,12 Nov 2021,22 Nov 2021,whole,"1,000",71,6 Dec 2021,whole,71,,710000
,2,1150,150,Xenic,C,12 Nov 2021,22 Nov 2021,whole,"1,000",98,6 Dec 2021,whole,100,,1000000
,2,1150,75,Xenic,A,12 Nov 2021,22 Nov 2021,whole,"1,000",23,6 Dec 2021,whole,23,,230000
,2,1150,75,Xenic,B,12 Nov 2021,22 Nov 2021,whole,"1,000",65,6 Dec 2021,whole,65,,650000
,2,1150,75,Xenic,C,12 Nov 2021,22 Nov 2021,whole,"1,000",46,6 Dec 2021,whole,47,,470000
,2,1148,150,Xenic,A,16 Nov 2021,22 Nov 2021,whole,"1,000",61,6 Dec 2021,whole,63,,630000
,2,1148,150,Xenic,B,16 Nov 2021,22 Nov 2021,whole,"1,000",32,6 Dec 2021,whole,33,,330000
,2,1148,150,Xenic,C,16 Nov 2021,22 Nov 2021,whole,"1,000",37,6 Dec 2021,whole,38,,380000
,2,1148,200,Xenic,A,16 Nov 2021,22 Nov 2021,whole,"1,000",16,6 Dec 2021,whole,20,,200000
,2,1148,200,Xenic,B,16 Nov 2021,22 Nov 2021,whole,"1,000",8,6 Dec 2021,whole,10,,100000
,2,1148,200,Xenic,C,16 Nov 2021,22 Nov 2021,whole,"1,000",7,6 Dec 2021,whole,7,,70000
,2,1148,200,Rice,A,16 Nov 2021,22 Nov 2021,whole,"10,000",86,6 Dec 2021,whole,93,,9300000
,2,1148,200,Rice,B,16 Nov 2021,22 Nov 2021,whole,"10,000",119,6 Dec 2021,whole,120,,12000000
,2,1148,200,Rice,C,16 Nov 2021,22 Nov 2021,whole,"10,000",192,6 Dec 2021,whole,195,,19500000
,2,1150,200,Rice,A,16 Nov 2021,22 Nov 2021,whole,"10,000",158,6 Dec 2021,whole,181,,18100000
,2,1150,200,Rice,B,16 Nov 2021,22 Nov 2021,whole,"10,000",158,6 Dec 2021,whole,159,,15900000
,2,1150,200,Rice,C,16 Nov 2021,22 Nov 2021,whole,"10,000",62,6 Dec 2021,whole,67,,6700000
,2,1148,25,Xenic,A,16 Nov 2021,22 Nov 2021,whole,"1,000",5,,,,mold spore contamination; do not use,250000
,2,1148,25,Xenic,B,16 Nov 2021,22 Nov 2021,whole,"1,000",17,6 Dec 2021,whole,18,,180000
,2,1148,25,Xenic,C,16 Nov 2021,22 Nov 2021,whole,"1,000",32,6 Dec 2021,whole,32,,320000
,2,1150,25,Xenic,A,16 Nov 2021,22 Nov 2021,whole,"1,000",23,6 Dec 2021,whole,25,,250000
,2,1150,25,Xenic,B,16 Nov 2021,22 Nov 2021,whole,"1,000",24,6 Dec 2021,whole,25,,250000
,2,1150,25,Xenic,C,16 Nov 2021,22 Nov 2021,whole,"1,000",25,6 Dec 2021,whole,26,,260000
,2,1150,50,Rice,A,17 Nov 2021,22 Nov 2021,whole,"10,000",168,6 Dec 2021,whole,169,,16900000
,2,1150,50,Rice,B,17 Nov 2021,22 Nov 2021,whole,"10,000",64,6 Dec 2021,whole,64,,6400000
,2,1150,50,Rice,C,17 Nov 2021,22 Nov 2021,whole,"10,000",222,6 Dec 2021,whole,228,,22800000
,2,1148,50,Rice,A,17 Nov 2021,22 Nov 2021,whole,"10,000",291,6 Dec 2021,whole,294,,29400000
,2,1148,50,Rice,B,17 Nov 2021,22 Nov 2021,whole,"10,000",649,6 Dec 2021,whole,654,,65400000
,2,1148,50,Rice,C,17 Nov 2021,22 Nov 2021,whole,"10,000",717,6 Dec 2021,whole,737,,73700000
,2,1148,100,Rice,A,17 Nov 2021,22 Nov 2021,whole,"10,000",104,6 Dec 2021,whole,105,,10500000
,2,1148,100,Rice,B,17 Nov 2021,22 Nov 2021,whole,"10,000",175,6 Dec 2021,whole,176,,17600000
,2,1148,100,Rice,C,17 Nov 2021,22 Nov 2021,whole,"10,000",265,6 Dec 2021,whole,271,,27100000
,2,1150,100,Rice,A,17 Nov 2021,22 Nov 2021,whole,"10,000",174,6 Dec 2021,whole,176,,17600000
,2,1150,100,Rice,B,17 Nov 2021,22 Nov 2021,whole,"10,000",99,6 Dec 2021,whole,100,,10000000
,2,1150,100,Rice,C,17 Nov 2021,22 Nov 2021,whole,"10,000",135,6 Dec 2021,whole,136,,13600000
,2,1150,15,Rice,A,19 Nov 2021,23 Nov 2021,whole,"10,000",72,6 Dec 2021,whole,76,,7600000
,2,1150,15,Rice,B,19 Nov 2021,23 Nov 2021,whole,"10,000",100,6 Dec 2021,whole,103,,10300000
,2,1150,15,Rice,C,19 Nov 2021,23 Nov 2021,whole,"10,000",118,6 Dec 2021,whole,123,,12300000
,2,1148,15,Rice,A,19 Nov 2021,23 Nov 2021,whole,"10,000",186,6 Dec 2021,whole,191,,19100000
,2,1148,15,Rice,B,19 Nov 2021,23 Nov 2021,whole,"10,000",748,6 Dec 2021,whole,769,,76900000
,2,1148,15,Rice,C,19 Nov 2021,23 Nov 2021,whole,"10,000",724,6 Dec 2021,whole,731,,73100000
,1,1392,75,Xenic,A,2 Nov,8 Nov,whole,"1,000",134,12 Nov,whole,142,,1420000
,1,1392,75,Rice,C,2 Nov,8 Nov,whole,"10,000",75,12 Nov,whole,101,,10100000
,1,1392,75,Xenic,B,2 Nov,8 Nov,whole,"1,000",60,12 Nov,whole,65,,650000
,1,1392,75,Xenic,C,2 Nov,8 Nov,whole,"1,000",51,12 Nov,whole,51,,510000
,1,1392,75,Rice,A,2 Nov,8 Nov,whole,"10,000",116,12 Nov,whole,118,,11800000
,1,1392,75,Rice,B,2 Nov,8 Nov,whole,"10,000",94,12 Nov,whole,107,,10700000
,1,590,75,Xenic,A,2 Nov,8 Nov,whole,"1,000",97,12 Nov,whole,103,,1030000
,1,590,75,Xenic,B,2 Nov,8 Nov,whole,"1,000",99,12 Nov,whole,104,,1040000
,1,590,75,Rice,B,2 Nov,8 Nov,whole,"10,000",236,12 Nov,whole,250,,25000000
,1,590,75,Xenic,C,2 Nov,8 Nov,whole,"1,000",173,12 Nov,whole,173,,1730000
,1,590,75,Rice,A,2 Nov,8 Nov,whole,"10,000",194,12 Nov,whole,196,,19600000
,1,590,75,Rice,C,2 Nov,8 Nov,whole,"10,000",46,12 Nov,whole,51,,5100000
,1,590,150,Xenic,A,2 Nov,8 Nov,whole,"1,000",69,12 Nov,whole,79,,790000
,1,590,150,Xenic,C,2 Nov,8 Nov,whole,"1,000",106,12 Nov,whole,115,,1150000
,1,590,150,Rice,B,2 Nov,8 Nov,whole,"10,000",204,12 Nov,whole,215,,21500000
,1,590,150,Xenic,B,2 Nov,8 Nov,whole,"1,000",97,12 Nov,whole,103,,1030000
,1,590,150,Rice,A,2 Nov,8 Nov,whole,"10,000",101,12 Nov,whole,109,,10900000
,1,590,150,Rice,C,2 Nov,8 Nov,whole,"10,000",352,12 Nov,whole,365,,36500000
,2,1148,100,Xenic,A,23 Nov,29 Nov,whole,"1,000",19,6 Dec 2021,whole,19,,190000
,2,1148,100,Xenic,B,23 Nov,29 Nov,whole,"1,000",20,6 Dec 2021,whole,20,,200000
,2,1148,100,Xenic,C,23 Nov,29 Nov,whole,"1,000",31,6 Dec 2021,whole,33,,330000
,2,1150,100,Xenic,A,23 Nov,29 Nov,whole,"1,000",12,6 Dec 2021,whole,13,,130000
,2,1150,100,Xenic,B,23 Nov,29 Nov,whole,"1,000",22,6 Dec 2021,whole,23,,230000
,2,1150,100,Xenic,C,23 Nov,29 Nov,whole,"1,000",10,6 Dec 2021,whole,10,,100000
,2,1148,50,Xenic,A,23 Nov,29 Nov,whole,"1,000",22,6 Dec 2021,whole,53,,530000
,2,1148,50,Xenic,B,23 Nov,29 Nov,whole,"1,000",14,6 Dec 2021,whole,14,,140000
,2,1148,50,Xenic,C,23 Nov,29 Nov,whole,"1,000",10,6 Dec 2021,whole,11,,110000
,2,1150,50,Xenic,A,23 Nov,29 Nov,whole,"1,000",105,6 Dec 2021,whole,107,,1070000
,2,1150,50,Xenic,B,23 Nov,29 Nov,whole,"1,000",66,6 Dec 2021,whole,66,,660000
,2,1150,50,Xenic,C,23 Nov,29 Nov,whole,"1,000",40,6 Dec 2021,whole,41,,410000
,2,1148,15,Xenic,A,29 Nov,6 Dec,whole,"1,000",43,,,,,430000
,2,1148,15,Xenic,B,29 Nov,6 Dec,whole,"1,000",47,,,,,470000
,2,1148,15,Xenic,C,29 Nov,6 Dec,whole,"1,000",56,,,,,560000
,2,1150,15,Xenic,A,29 Nov,6 Dec,whole,"1,000",28,,,,,280000
,2,1150,15,Xenic,B,29 Nov,6 Dec,whole,"1,000",39,,,,,390000
,2,1150,15,Xenic,C,29 Nov,6 Dec,whole,"1,000",37,,,,,370000
,3,1393,150,Rice,A,2 Dec,8 Dec,whole,"10,000",833,,,,,83300000
,3,1393,150,Rice,B,2 Dec,8 Dec,whole,"10,000",459,,,,,45900000
,3,1393,150,Rice,C,2 Dec,8 Dec,whole,"10,000",339,,,,,33900000
,3,1393,100,Rice,A,2 Dec,8 Dec,whole,"10,000",188,,,,,18800000
,3,1393,100,Rice,B,2 Dec,8 Dec,whole,"10,000",352,,,,,35200000
,3,1393,100,Rice,C,2 Dec,8 Dec,whole,"10,000",150,,,,,15000000
,3,584,50,Rice,A,3 Dec,9 Dec,whole,"10,000",233,,,,,23300000
